codigo,nombre,tipo,ha
ES2410076,Sierras de Alcubierre y Sigena,LIC + ZEC,47050
ES0000295,Sierra de Alcubierre,ZEPA,42108
ES0000298,Matarraña - Aiguabarreix,ZEPA,36729
ES0000181,La Retuerta y saladas de Sástago,ZEPA,36005
ES2430082,Monegros,LIC + ZEC,35671
ES0000182,"Valcuerna, Serreta Negra y Liberola",ZEPA,35338
ES0000180,Estepas de Monegrillo y Pina,ZEPA,24533
ES2410030,Serreta Negra,LIC + ZEC,14062
ES0000480,Secans del Segrià i Utxesa,ZEPA,7718
ES0000183,"El Basal, Las Menorcas y Llanos de Cardiel",ZEPA,6987
ES2410073,Ríos cinca y Alcanadre,LIC + ZEC,6208
ES2410084,Liberola - Serreta Negra,LIC + ZEC,4918
ES5130038,Secans del Segrià i Utxesa,LIC + ZEC,3802
ES5130013,Aiguabarreig Segre-Cinca,LIC + ZEC + ZEPA,762
ES0000294,Laguna de Sariñena y Balsa de la Estación,ZEPA,655
ES2410075,Basal de Ballobar y Balsalet de Don Juan,LIC + ZEC,229
ES0000296,Embalse del Pas y Santa Rita,ZEPA,185
ES5130017,Basses de Sucs i Alcarràs,LIC + ZEC + ZEPA,21
